date,open,high,low,close,to symbol,from symbol
2023-09-24,7.2906,7.3114,7.2859,7.2975,CNY,USD
2023-09-17,7.288,7.2963,7.1522,7.2739,CNY,USD
2023-09-10,7.2719,7.349,7.1787,7.2324,CNY,USD
2023-09-03,7.2891,7.294,7.1401,7.1401,CNY,USD
2023-08-27,7.198,7.3469,7.1546,7.289,CNY,USD
2023-08-20,7.2573,7.3177,7.1795,7.2807,CNY,USD
2023-08-13,7.1923,7.2655,7.1288,7.1923,CNY,USD
2023-08-06,7.0957,7.1935,7.0957,7.1312,CNY,USD
2023-07-30,7.1853,7.1909,7.0932,7.1028,CNY,USD
2023-07-23,7.1706,7.226,7.1583,7.1779,CNY,USD
2023-07-16,7.2306,7.2314,7.1192,7.1403,CNY,USD
2023-07-09,7.2398,7.2531,7.207,7.2113,CNY,USD
2023-07-02,7.2365,7.2679,7.1993,7.2424,CNY,USD
2023-06-25,7.1604,7.2377,7.16,7.1785,CNY,USD
2023-06-18,7.1446,7.1783,7.1013,7.1256,CNY,USD
2023-06-11,7.105,7.1465,7.0975,7.1276,CNY,USD
2023-06-04,7.0723,7.1234,7.0552,7.0838,CNY,USD
2023-05-28,7.0309,7.0785,7.0309,7.0548,CNY,USD
2023-05-21,6.9516,7.0586,6.9514,7.0069,CNY,USD
2023-05-14,6.9115,6.9646,6.9105,6.9573,CNY,USD
2023-05-07,6.911,6.919,6.8868,6.9095,CNY,USD
2023-04-30,6.8949,6.9321,6.8921,6.9111,CNY,USD
2023-04-23,6.8788,6.9054,6.862,6.8925,CNY,USD
2023-04-16,6.8811,6.8909,6.8314,6.8704,CNY,USD
2023-04-09,6.8773,6.8839,6.8634,6.8693,CNY,USD
2023-04-02,6.8844,6.9067,6.8416,6.868,CNY,USD
2023-03-26,6.8777,6.8923,6.8129,6.867,CNY,USD
2023-03-19,6.8446,6.9096,6.8442,6.8861,CNY,USD
2023-03-12,6.9294,6.9762,6.8358,6.9052,CNY,USD
2023-03-05,6.9439,6.9476,6.8615,6.9068,CNY,USD
2023-02-26,6.8541,6.9722,6.8536,6.955,CNY,USD
2023-02-19,6.8219,6.8835,6.8052,6.8576,CNY,USD
2023-02-12,6.794,6.8319,6.7665,6.8083,CNY,USD
2023-02-05,6.7478,6.7952,6.7099,6.7742,CNY,USD
2023-01-29,6.783,6.7837,6.7417,6.7824,CNY,USD
2023-01-22,6.7325,6.7882,6.7325,6.7826,CNY,USD
2023-01-15,6.771,6.787,6.6906,6.7018,CNY,USD
2023-01-08,6.8971,6.9225,6.7601,6.8374,CNY,USD
2023-01-01,6.9612,6.9798,6.889,6.8969,CNY,USD
2022-12-25,6.9786,6.9967,6.9523,6.9887,CNY,USD
2022-12-18,6.9765,6.9855,6.9383,6.9721,CNY,USD
2022-12-11,6.9609,6.9989,6.9392,6.9566,CNY,USD
2022-12-04,7.2071,7.2074,6.9394,7.0239,CNY,USD
2022-11-27,7.1642,7.2361,7.1253,7.1705,CNY,USD
2022-11-20,7.0729,7.168,7.025,7.1189,CNY,USD
